,Position,Player,Age,Conference,PPG,RPG,APG,BPG,SPG,GP,W%
148,G,C.J. Miles 2019-20,32,East,6.4,1.2,1.2,0.4,1.0,10.0,0.3171
149,G,Patty Mills 2019-20,31,West,11.75,1.525,2.025,0.125,0.825,40.0,0.425
150,G,Shake Milton 2019-20,23,East,3.9167,1.25,0.75,0.0833,0.0833,12.0,0.6279
151,G,Donovan Mitchell 2019-20,23,West,24.75,4.3,4.35,0.25,1.125,40.0,0.6829
152,G,Naz Mitrou-Long 2019-20,26,East,4.6667,2.0,2.3333,0.3333,0.3333,3.0,0.6429
153,G,Adam Mokoka 2019-20,21,East,0.0,1.0,0.0,0.0,0.0,2.0,0.3488
154,G,Malik Monk 2019-20,21,East,8.1667,2.619,1.9524,0.2143,0.4286,42.0,0.3409
155,G,E'Twaun Moore 2019-20,30,West,10.3548,3.0968,1.8065,0.1613,0.6452,31.0,0.3721
156,G,Ja Morant 2019-20,20,West,17.9444,3.5,6.9722,0.3056,1.0556,36.0,0.4762
157,G,Monte Morris 2019-20,24,West,7.5366,1.5366,3.3415,0.2195,0.6341,41.0,0.7073
158,G,Emmanuel Mudiay 2019-20,23,West,7.8421,2.6053,2.5,0.2105,0.4211,38.0,0.6829
159,G,Dejounte Murray 2019-20,23,West,10.2222,6.0,4.1389,0.2778,1.6667,36.0,0.425
160,G,Jamal Murray 2019-20,22,West,17.6,4.075,4.575,0.275,1.35,40.0,0.7073
161,G,Džanan Musa 2019-20,20,East,4.5714,2.0714,1.0,0.0357,0.3571,28.0,0.45
162,G,Sviatoslav Mykhailiuk 2019-20,22,East,7.7568,1.4865,1.6757,0.0541,0.6216,37.0,0.3571
163,G,Shabazz Napier 2019-20,28,West,9.5,2.4643,4.4643,0.2143,1.0,28.0,0.3659
164,G,Raul Neto 2019-20,27,East,3.9118,0.9412,1.4412,0.0588,0.4706,34.0,0.6279
165,G,Zach Norvell 2019-20,22,West,0.0,0.5,0.0,0.0,0.0,2.0,0.8049
166,G,Jaylen Nowell 2019-20,20,West,4.4286,0.7143,0.8571,0.1429,0.0,7.0,0.3659
167,G,Frank Ntilikina 2019-20,21,East,6.1316,2.1579,3.2368,0.3684,1.0789,38.0,0.2619
168,G,Kendrick Nunn 2019-20,24,East,16.0,2.6829,3.5366,0.1951,0.9268,41.0,0.7073
169,G,David Nwaba 2019-20,27,East,5.2,2.25,0.4,0.6,0.55,20.0,0.45
170,G,Elie Okobo 2019-20,22,West,4.6563,1.2813,2.0938,0.0938,0.4688,32.0,0.4146
171,G,Josh Okogie 2019-20,21,West,7.8205,4.4103,1.4872,0.4872,1.0769,39.0,0.3659
172,G,Miye Oni 2019-20,22,West,0.0,0.3333,0.0,0.0,0.0,3.0,0.6829
